question;answer    
Какой титул носил Юлий Цезарь?;Диктатор
Первый император Рима;Октавиан Август
Какой политический союз организовал Цезарь?;Триумвриат
Изображение какого бога помещалось на некоторых монетах?;Марс
Какой император создал профессиональную римскую армию?;Октавиан Август
"Какое эллинистическое государство было ближайшим к Риму?

";Македония
Кто правил Македонией в начале 3 - конце 2 века до нашей эры?;Филипп
Кто из греческих философов был учителем Александра Македонского?;Аристотель
Кто по профессии был отец Аристотеля?;Врач
Как называлась школа, основанная Аристотелем в Афинах?;Ликей
Какой труд Аристотеля является одним из самых известных произведений Античности?;История животных
"Какой орган Аристотель считал самым главным в организме человека?
";Сердце
"Какой термин ввел Аристотель для обозначения совокупности добродетелей характера человека как особой предметной области знания?
";Этика
Кем был Евклид?;Математиком
Какой из диалогов Платона нашел отклик у Евклида?;Тимей
Что означает имя Евклид?;Добрая слава
Как звали древнеегипетского солнечного бога?;Ра
Какой из древнеегипетских богов олицетворял собой солнечный диск?;Ра
Кто из богов был первым царем Египта?;Осирис
Как звали древнеегипетского бога знаний?;Тот
Какое женское божество изображалось с головой львицы?;Тефнут
Как звали древнеегипетского быка с солнечным диском между рогами?;Апис
Как называлась система верований древних египтян?;Политеизм
На каком языке записывались книги в Риме?;Латынь
Под влиянием культуры какой страны находился Рим?;Греция
Кто написал первую летопись Рима?;Марк Порций
Какой великий мыслитель Рима написал «Энеиду»?;Вергилий
Кем был Цицерон?;оратором
Наиболее совершенный образцом древнегреческого храма является;Парфенон
Архитектор, воздвигший Парфенон;Калликрат
Наиболее важные архитектурные сооружения Древней Греции;Храмы
Про какой город шутили, что в нем больше статуй, чем людей?;Афины
Какая статуя считалась одним из чудес света в Древней Греции?;Статуя Зевса
Первые сцены, которые разыгрывались греками, были из жизни бога;Диониса
Кто исполнял женские роли в древнегреческом театре?;Мужчины
Как назывались песни в честь Диониса?;Трагедии
Как звали циклопа, которого ослепил Одиссей?;Полифем
Родная земля Одиссея;Итака
Как звали жену Одиссея?;Пенелопа
Какая из профессий считалась наиболее уважаемой и высокооплачиваемой в Египте?;Писец
За сколько лет возвели Великую Китайскую Стену?;10
Какова длинна Великой Китайской Стены в тысячах киллометров?;8
Какую редкую ткань производили в Китае?;Шелк
Какой злак в Китае выращивали больше всего?;Рис
Какую реку Китая называют «рекой тысячи бедствий»Какую реку Китая называют «рекой тысячи бедствий»Какую реку Китая называют «рекой тысячи бедствий»?;Хуанхэ
Сколько государств образовалось после распада державы Александра Македонского?;3
Какой ученый создал автоматический театр кукол?;Герон
Какое сооружение является символом Александрии?;Александрийский маяк
Кто был первым организатором Олимпийских игр?;Геракл
Сколько дней длились древние Олимпийские игры?;5
Какую награду получал победитель Олимпийских игр в древности?;Лавровый венок
Чемпионом первых Олимпийских игр стал молодой атлет по имени Корзб. Кем он был по профессии?;Пекарь 
Какой древнегреческий философ дважды становился победителем Олимпийских игр?;Платон
Олимпийские игры в древности проводились в честь какого бога?;Зевса
Пентатлон – пятиборье древнегреческих Олимпиад, проводился в следующем порядке: бег, прыжки в длину, метание диска... А какие соревнования проводились в финале?;Борьба
Какое современное государство считается родиной Олимпийских игр?;Греция
Как звали победителя Олимпийских игр в Древней Греции?;Олимпионик
Какой из римских богов самый старший?;Сатурн
Как назывался высший жрец у римлян?;понтифик
Как называлось главное помещение в доме римлянина?;Атрум
Как называли духов предков в Древнем Риме?;Лары
Как звали маленьких хранителей очага в Древнем Риме?;Пенаты
На какой горе обитали боги Греции?;Олимп
Покровительницей чего была жена Зевса?;Брака
"Какой бог считался самым трудолюбивым богом древнегреческой мифологии?
";Гефест
Сколько братьев было у Зевса?;2
Какая богиня обеспечивала плодородие греческих земель?;Деметра
Что лежит в основе религии ариев?;переселение душ
Кто стал родоначальником буддизма;Гаутама
Какую популярную игру создали в Индии?;Шахматы
Какое важное изобретение Китая сначала использовалось в гадании, а потом в мореходстве?;компас
Кого в Китае называли «Сыном неба»?;Императора
Какая религия распространена в Китае?;Конфуцианство
Какое животное считалось символом мудрости в Китае?;Дракон
Какое искусство славило Китай на весь мир?;Гончарное
Какая страна не была захвачена Вавилоном?;Греция
Ворота какой богини были самыми красивыми в Вавилоне?;Иштар
Какое из чудес света находится в Вавилоне?;Сады Семирамиды
Чем занимались персы?;Скотоводством
Какой царь смог объединить племена Персиды?;Кир
Даром какой реки назвал Египет древнегреческий историк Геродот?;Нил
Назовите самую древнюю столицу Египта;Мемфис
Как звали жену бога Осириса?;Исида
Как звали сына Осириса?;Гор
Фараон, гробницу которого нашли археологи нетронутой;Тутанхамон
Как называли египтяне ветер, дующий из пустыни 50 дней?;Хамсин
Какую крупнейшую реформу провел фараон Эхнатон?;Религиозную
Как звали отца Зевса?;Кронос
Каким мясом кормил Диомед своих коней?;Человеческим
Что, согласно мифологии, изобрел Цан Цзе, изучая следы зверей и птиц?;Иероглифы
Какую краску из смеси сосновой сажи, продуктов сгорания растений и клея использовали древние китайцы в каллиграфии и живописи?;Тушь
Что выступало центральным божеством в верованиях китайцев?;Небо
Как называются многоярусные башни, которые строили в Древнем Китае?;Пагоды
Сколько этажей в самой знаменитой пагоде Диких гусей в Китае?;7
В каком виде искусства в Китае использовались жанры «цветы-птицы», «люди», «горы-воды»?;Живопись
Как называют философов, стоявших у истоков зарождения философии?;Досократики
Какой римский император любил выступать на арене в качестве гладиатора, хотя в этих боях принимали участие преимущественно рабы?;Коммод
Направлением какой древней религии является Махаяна?;Буддизм
Как называется философско-этическая система, разработанная китайским мыслителем в V веке до нашей эры?;Конфуцианство
От кого, по мнению древнегреческих философов, произошел человек?;Рыб 
Сын Зевса и смертной женщины Алкмены?;Геракл
Кто принёс Гераклу яблоки Гесперид?;Атлас
Как называлась река забвения в древнегреческих мифах?;Лета
Кто из античных скульпторов создал прославленную статую Зевса Олимпийского?;Фидий
Укажите римского императора, который потребовал от своего учителя покончить с собой, обвинив его в заговоре.;Нерон
Кто считается мифическим основателем Афин?;Кекроп
Кто впервые ввёл категорию «Логос» в античной философии?;Гераклит
Какой античный мыслитель считал «человека мерой всех вещей»;Протагор
